"Add Minimum Qty","Voeg minimum aantal toe"
"Allow Qty Below 0","Aantal onder 0 toestaan"
"Allow Qty Below 0 and Notify Customer","Aantal onder 0 toestaan en klant inlichten"
"Automatically Return Credit Memo Item to Stock","Voeg product toe aan voorraad indien er een creditfactuur is opgesteld"
"Backorders","Nabestellingen"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"Catalog Inventory","Catalogus voorraad"
"Decrease Stock When Order is Placed","Verminder voorraad wanneer bestelling is geplaatst"
"Display Out of Stock Products","Toon niet op voorraad producten"
"Enable Qty Increments","Activeer opklimmende aantallen"
"In Stock","Op voorraad"
"Inventory","Assortimentsbeheer"
"Inventory API","Voorraad API"
"Manage Stock","Voorraad beheren"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Minimum Qty","Minimum aantal"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"No Backorders","Geen backorders"
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Only X left Threshold","Maar X op voorraad"
"Out of Stock","Niet op voorraad"
"Product Name","Product Naam"
"Product Stock Options","Instellingen productvoorraad"
"Products will still be shown by direct product URLs.","Producten zullen worden getoond bij een directe product-URL"
"Qty","Aantal"
"Qty Increments","Opklimmend aantal"
"Retrieve stock data","Voorraadgegevens ophalen"
"Retrieve stock data by product ids","Voorraadgegevens via product-ID ophalen"
"Rule price","Regelprijs"
"Set Items' Status to be In Stock When Order is Cancelled","Status wijzigen naar 'Op Voorraad' bij annuleren van order."
"Stock Options","Voorraadopties"
"Stock Status","Voorraadstatus"
"The maximum quantity allowed for purchase is %s.","Het maximale aankoop-aantal is %s."
"The minimum quantity allowed for purchase is %s.","Het minimale aankoop-aantal is %s."
"The requested quantity for ""%s"" is not available.","Het gewenste aantal voor “%s” is niet beschikbaar."
"The stock item for Product in option is not valid.","De voorraadstatus is ongeldig."
"This product is currently out of stock.","Dit product is momenteel niet in voorraad"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"Update","Bijwerken"
"Update product stock data","Productvoorraad bijwerken"
"Update the Product","Het product bijwerken"
