"-- Please Select --","-- Selecteer --"
"Actions","Acties"
"Add Layout Update","Voeg lay-out update toe"
"All","Alle"
"All Pages","Alle paginas"
"All Product Types","Alle product types"
"Anchor Categories","Verankerde Categorieën"
"Apply","Toepassen"
"Assign to Store Views","Aan Winkelaanzichten toewijzen"
"Big Image","Grote afbeelding"
"Categories","Categorieën"
"Choose...","Kies..."
"Close","Sluiten"
"Continue","Doorgaan"
"Default Template","Standaard template"
"Delete","Verwijder"
"Design Package/Theme","Ontwerp Pakket/Thema"
"Export to:","Exporteer naar:"
"Frontend Properties","Eigenschappen front-end"
"Generic Pages","Generieke paginas"
"Images","Afbeeldingen"
"Insert Widget","Widget invoegen"
"Layout Updates","Lay-out update"
"New Widget Instance","Nieuw widget"
"Next page","Volgende pagina's"
"Non-Anchor Categories","Niet verankerde categorieën"
"Not Selected","Niet Geselecteerd"
"Open Chooser","Kiezer openen"
"Page","Pagina"
"Previous page","Vorige pagina"
"Products","Producten"
"Remove Layout Update","Verwijder lay-out update"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Select All","Alles selecteren"
"Select Visible","Selecteer zichtbare"
"Settings","Instellingen"
"Sort Order","Sorteervolgorde"
"Specified Page","Specifieke pagina"
"Template","Sjabloon"
"The information in this tab has been changed.","De informatie in dit tabblad is gewijzigd"
"The widget instance has been deleted.","De widget is gewijzigd"
"The widget instance has been saved.","De widget is opgeslagen"
"This tab contains invalid data. Please solve the problem before saving.","Deze tab bevat ongeldige data. Los dit probleem op voordat u opslaat."
"Thumbnail","Mini-afbeelding"
"Total %d records found","In totaal zijn er %d records gevonden"
"Type","Soort"
"Unselect All","Deselecteer alles"
"Unselect Visible","Deselecteer zichtbare"
"View","Bekijk"
"Widget ID","Widget-ID"
"Widget Options","Widget opties"
"Widget Type","Widget type"
"Widgets","Widget"
"items selected","Geselecteerde artikelen"
"of %s pages","van %s pagina's"
"per page","per pagina"
