"Add","Toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumeriek- (a-z en A-Z), streepje- (-) en underscore- (_) karakters zijn aanbevolen voor bestandnamen. Ongeldige karakters worden vervangen door een underscore (_)."
"Availability:","Beschikbaarheid:"
"Back","Terug"
"Canceled","Geannuleerd"
"Date","Datum"
"Default Link Title","Standaard-linktitel"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Delete","Verwijder"
"Disable Guest Checkout if Cart Contains Downloadable Items","Niet-ingelogd afrekenen uitschakelen als het winkelwagen download-producten bevat."
"Downloadable Information","Downloadbare informatie"
"Downloadable Product Options","Opties download-product"
"Downloadable Product Section","Downloadbare producten sectie"
"Edit","Bewerken"
"Edit item parameters","Bewerk productparameters"
"Excl. Tax","Excl. BTW"
"File","Bestand"
"From:","Van:"
"Gift Message","Cadeau-bericht"
"Guest checkout will only work with shareable.","Afrekenen als gast werk alleen met deelbare producten"
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Invalid download link type.","Ongeldige download link type"
"Invoiced","Gefactureerd"
"Links can be purchased separately","Links kunnen afzonderlijk worden gekocht"
"List","Lijst"
"Max. Downloads","Max. downloads"
"Message:","Bericht:"
"Move","Verplaats"
"My Downloadable Products","Downloads"
"Open Links in New Window","Links openen in nieuw venster"
"Order #","Ordernr."
"Order Item Status to Enable Downloads","Artikelstatus om downloads in te schakelen"
"Order id cannot be null","Bestelling-ID kan niet null zijn"
"Order item id cannot be null","Product-ID van bestelling kan niet null zijn"
"Ordered","Besteld"
"Out of stock","Niet op voorraad"
"Pending","In afwachting"
"Please set resource file and link type.","Voer bestand en type in"
"Please specify product link(s).","Geef productlink(s) op."
"Price","prijs"
"Qty","Aantal"
"Refunded","Teruggestort"
"Remaining Downloads","Resterende downloads"
"Remove","Verwijder"
"Remove Item","Product verwijderen"
"SKU","Art.nr."
"Sample","demo"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"Shareable","Deelbaar"
"Shipped","Verzonden"
"Sorry, there was an error getting requested content. Please contact the store owner.","Er ging iets fout bij het ophalen van de gegevens, neem contact op met de shop eigenaar."
"Sort Order","Sorteervolgorde"
"Start Download","Start het downloaden"
"Status","status"
"Subtotal","Subtotaal"
"The link has expired.","Deze link is verlopen"
"The link is not available.","Deze link is niet beschikbaar"
"Title","Titel"
"To:","Tot:"
"Unlimited","Onbeperkt"
"Update","Bijwerken"
"Use Content-Disposition","Gebruik Content-Disposition"
"Use Default Value","Gebruik standaard waarde"
"View Order","Bestelling bekijken"
"What's this?","Wat is dit?"
"You have not purchased any downloadable products yet.","U hebt nog geen producten besteld die u kunt downloaden."
"attachment","bijlage"
"download","downloaden"
"sample","voorbeeld"
