"All Websites","Tous les sites web"
"Display Prices In Emails","Afficher les prix dans les emails"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Enable FPT","Activer les TFP"
"Excluding FPT","Hors TFP"
"Excluding FPT, FPT description, final price","Exclure TFP, description TFP dans le prix final"
"Fixed Product Tax","Taxe Fixe de Produit"
"Fixed Product Taxes","Taxes Fixes de Produit"
"Include FPT In Subtotal","Inclure TFP dans le sous-total"
"Including FPT and FPT description","FPT incluses et description des FPT"
"Including FPT and FPT description [incl. FPT VAT]","TFP incluse et avec description [dont écotaxe]"
"Including FPT only","TFP incluses uniquement"
"Total Incl. Tax","Total TTC"
"Total incl. tax","Total TTC"
"Total:","Total :"
