"Abandoned Carts","Carritos abandonados"
"Abandoned carts","Carritos abandonados"
"Action","Acción"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Any","Cualquiera"
"Applied Coupon","Cupón aplicado"
"Are you sure?","¿Seguro que quiere continuar?"
"Bestsellers","Mejor vendidos"
"Carts","Carritos"
"Compared Products Grid Template","Plantilla de cuadrícula de productos comparados"
"Compared Products List Template","Plantilla de lista de productos comparados"
"Coupons","Cupones"
"Coupons Usage Report","Informe acerca del uso de cupones"
"Created At","Creado en"
"Current Month Starts","El mes actual empieza el"
"Customer","Cliente"
"Customer Name","Cliente nombre"
"Customers","Clientes"
"Customers Report","Informe de clientes"
"Customers Reviews","Reseñas de clientes"
"Customers by Number of Orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Customers by number of orders","Clientes por número de pedidos"
"Dashboard","Panel"
"Day","Día"
"Default Recently Compared Products Count","Contar los artículos comparardos por defecto"
"Default Recently Viewed Products Count","Contar las vistas de los artículos por defecto"
"Description","Descripción"
"Detail","Detalle"
"Downloads","Descargas"
"Email","Correo electrónico"
"Empty Rows","Filas vacías"
"Filter","Filtro"
"First Name","Nombre"
"From","Desde"
"Guest","Visitante"
"Hits","Visitas"
"ID","Número de Identificación (ID)"
"IP Address","Dirección IP"
"Invoiced","Facturado"
"Items in Cart","Artículos en el carrito"
"Last Name","Apellidos"
"Last Review","Última revisión"
"Link","Enlace"
"List of Products Recently Viewed by Visitor","Lista de artículos recientemente examinados por el visitante"
"Low Stock","Existencia baja"
"Low stock","Existencia baja"
"Month","Mes"
"Most Viewed","Más vistos"
"Name","Nombre"
"New Accounts","Clientes con nuevas cuentas"
"No","No 	"
"Number of Items","Número de artículos"
"Number of Products to display","Número de productos para mostrar"
"Order Status","Estado de pedido"
"Order Taxes Report Grouped by Tax Rate","Informe de impuestos - Pedidos por tasas de impuestos"
"Orders","Pedidos"
"Out of stock","No está disponible"
"Period","Período"
"Price","Precio"
"Product Name","Nombre del producto"
"Product Reviews","Reseñas de artículo"
"Products","Productos"
"Products Ordered","Artículos pedidos"
"Products Report","Informe de productos"
"Products Reviews","Reseñas de artículos"
"Products in carts","Artículos en carritos"
"Purchases","Compras"
"Recently Compared","Comparados recientemente"
"Recently Compared Products","Productos recientemente comparados"
"Recently Viewed","Vistos recientemente"
"Recently Viewed Products","Artículos vistos recientemente"
"Recently Viewed/Compared Products","Artículos vistos/comparados recientemente"
"Refresh Lifetime Statistics","Actualiza estadísticas acumuladas"
"Refresh Statistics","Actualizar estadísticas"
"Refresh Statistics for the Last Day","Actualizar estadísticas del último día"
"Refunds","Reembolsos"
"Report","Informe"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Reseña"
"Reviews","Reseñas"
"Sales","Ventas"
"Sales Report","Informe de ventas"
"Search Query","Término de búsqueda"
"Search Terms","Términos de búsqueda"
"Select day of the month.","Elige el día del mes."
"Shipping","Envío"
"Shopping Cart","Cesta"
"Show Actual Values","Mostrar valores actuales"
"Show Report","Mostrar informe"
"Show for Current","Mostrar para el actual"
"Specified","Especificado"
"Statistics","Estadísticas"
"Tax","Impuestos"
"Title","Título"
"To","Hasta"
"Total","Totals"
"Total Invoiced vs. Paid Report","Total facturado vs. informe de pagos"
"Total Ordered Report","Informe de todos los pedidos"
"Total Refunded Report","Informe de todos las reembolsas"
"Total Shipped Report","Informe de todos los envíos"
"Updated At","Actualicado el"
"Viewed Products Grid Template","Productos vistos Plantilla de cuadrícula"
"Viewed Products List Template","Plantilla de lista de productos vistos"
"Year","Año"
"Year-To-Date Starts","Año actual empieza el"
"Yes","Sí"
