"ALL","TODO"
"ANY","CUALQUIER"
"Add","Agregar"
"Apply","Aplicar"
"Conditions Combination","Combinación de condiciones"
"FALSE","FALSO"
"Open Chooser","Abrir el buscador"
"Perform following actions","Realizar las siguientes acciones"
"Remove","Eliminar"
"TRUE","VERDADERO"
"by","por"
"contains","contiene"
"does not contain","no contiene"
"does not contains","no contiene"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"for","para"
"for greater than","para mayor que"
"for or greater than","para o mayor que"
"found","encontrado"
"from","a partir de"
"greater than","mayor que"
"is","es"
"is not","no es"
"is not one of","no es uno de"
"is one of","es uno de"
"less than","menor que"
"not found","no encontrado"
"not from","no a partir de"
"to","hasta"
"was","fue"
"was not","no fue"
