"All Websites","Visi Tnklapiai"
"Display Prices In Emails","Rodyti kainas el.laiškuose"
"Display Prices In Product Lists","Rodyti kainas prekių sąrašuose"
"Display Prices In Sales Modules","Rodyti kainas išpardavimų modulyje"
"Display Prices On Product View Page","Rodyti kainas prekės atvaizdavimo lange"
"Enable FPT","Galiojantis  FPT"
"Excluding FPT","Išskyrus FPT"
"Excluding FPT, FPT description, final price","Išskyrus FPT, FPT aprašymas, galutinė kaina"
"Fixed Product Tax","Fiksuotas prekės mokestis"
"Fixed Product Taxes","Fiksuoti prekių mokesčiai"
"Include FPT In Subtotal","Įskaitant FPT Iš viso"
"Including FPT and FPT description [incl. FPT VAT]","Įskaitant FPT ir FPT aprašymą [įskaitant. FPT PVM]"
"Including FPT only","Įskaitant tik FPT"
"Total","Iš viso"
"Total Incl. Tax","Iš viso (su PVM)"
"Total incl. tax","Viso įskaitant mokesčius"
"Total:","Iš viso:"
