"Action","Handling"
"Add New Block","Legg til ny blokk"
"Add New Page","Legg til ny side"
"All Countries","Alle land"
"Anchor Custom Text","Egendefinerte ankertekst"
"Anchor Custom Title","Anker egendefinert tittel"
"Block","Blokk"
"Block Information","Blokkinformasjon"
"Block Title","Blokk tittel"
"CMS","Tekstsider"
"CMS Home Page","Hovedside"
"CMS No Route Page","Siden finnes ikke (CMS)"
"Collapse All","Skjul alle"
"Content","Innhold"
"Content Heading","Innhold Overskrift"
"Content Management","Innholdsbehandling"
"Contents of a Static Block","Innholdet i en statisk blokk"
"Custom Design","Tilpasset design"
"Custom Theme","Tilpasset tema"
"Customer Tax Class Information","Momsklasse for kunde"
"Date Created","Opprettet"
"Delete Block","Slett blokk"
"Delete File","Slett fil"
"Delete Folder","Slett mappe"
"Delete Page","Slett siden"
"Description","Beskrivelse"
"Design","Utforming"
"Disabled","Deaktivert"
"Disabled Completely","Helt Deaktivert"
"Disabled by Default","Deaktivert som standard"
"Edit Block","Redigere blokk"
"Edit Block '%s'","Rediger blokk '%s'"
"Edit Page","Rediger side"
"Edit Page '%s'","Rediger side '%s'"
"Enable WYSIWYG Editor","Aktiver WYSIWYG Editor"
"Enabled","Aktivert"
"Enabled by Default","Aktivert som standard"
"Expand All","Utvid alle"
"General Information","Generell Informasjon"
"Go to Home Page","Gå til hjemmesiden"
"Home","Hjem"
"ID","Id"
"Identifier","Identifikator"
"Insert File","Sett inn fil"
"Keywords","Nøkkelord"
"Last Modified","Sist endret"
"Layout","Oppsett"
"Layout Update XML","Oppsett Oppdatering XML"
"Media Storage","Lagringsmedier"
"Meta Data","Metadata"
"Meta Description","Meta beskrivelse"
"Meta Keywords","Meta nøkkelord"
"New Block","Ny blokk"
"New Folder Name:","Nytt mappenavn:"
"New Page","Ny side"
"No files found","Finner ingen filer"
"Page Information","Sideinformasjon"
"Page Status","Sidestatus"
"Page Title","Sidetittel"
"Pages","Sider"
"Product Tax Class Information","Momsklasse for produkt"
"Save Block","Lagre blokk"
"Save Page","Lagre side"
"Select Block...","Velg blokk..."
"Select Page...","Velg side..."
"Show Notice if JavaScript is Disabled","Vis varsel hvis JavaScript er deaktivert"
"Static Blocks","Statiske blokker"
"Store View","Butikkvisning"
"Template","Mal"
"The page has been deleted.","Siden har blitt slettet."
"This block no longer exists.","Denne blokken finnes ikke lenger."
"This page no longer exists.","Denne siden finnes ikke lenger."
"Title","Tittel"
"URL Key","URL-nøkkel"
"WYSIWYG Options","WYSIWYG alternativer"
