"1 Day Freight","Un día de flete"
"Priority Mail Express Padded Flat Rate Envelope","Prioridad del correo urgente acolchado con sobre de tarifa única"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup Retención para recolección"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express entrega Domingo o durante las vacaciones"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Domingo/vacaciones entrega cajas de tarifa plana"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate sobre"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate sobre"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Entrega del sobre acolchado de la tarifa única"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate sobre"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate sobre recolección"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate sobre"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate sobre recolección"
"Priority Mail Hold For Pickup","Priority Mail recolección"
"Priority Mail International","Correo Prioritario Internacional"
"Priority Mail International DVD Flat Rate priced box","Correo urgente Internacional de DVD de la tarifa única caja de precio"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate sobre"
"Priority Mail International Gift Card Flat Rate Envelope","El correo urgente internacional de tarjetas de regalo de la tarifa única de sobres"
"Priority Mail International Large Flat Rate Box","Tarifa plana internacional para Caja Grande en Correo Prioritario"
"Priority Mail International Large Video Flat Rate priced box","Correo prioritario internacional Caja grande del vídeo de la tarifa única precio"
"Priority Mail International Legal Flat Rate Envelope","Correo prioritario internacional Legal de la tarifa única de sobres"
"Priority Mail International Medium Flat Rate Box","Tarifa plana internacional para Caja Mediana en Correo Prioritario"
"Priority Mail International Padded Flat Rate Envelope","Correo urgente internacional de la tarifa única del sobre acolchado"
"Priority Mail International Small Flat Rate Box","Priority Mail Box International pequeña tarifa plana"
"Priority Mail International Small Flat Rate Envelope","Correo urgente internacional para la pequeña de la tarifa única de sobres"
"Priority Mail International Window Flat Rate Envelope","Correo urgente internacional de la tarifa única ventana de sobres"
"Priority Mail Large Flat Rate Box","Tarifa plana grande de prioridad caja"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box recolección"
"Priority Mail Legal Flat Rate Envelope","Prioridad correo tarifa plana Legal sobres"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Prioridad correo tarifa plana Legal sobres Hold para la recolección"
"Priority Mail Medium Flat Rate Box","Tarifa plana para Caja Mediana en Correo Prioritario"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box recolección"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate sobre"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Prioridad correo ventana envolvente tarifa plana Hold para la recolección"
"Priority Mail Regional Rate Box A","Prioridad Regional tipo caja A"
"Priority Mail Regional Rate Box A Hold For Pickup","Prioridad Regional tipo caja A sostener para la recolección"
"Priority Mail Regional Rate Box B","Prioridad Regional tasa caja B"
"Priority Mail Regional Rate Box B Hold For Pickup","Prioridad Regional tasa caja B mantenga para la recolección"
"Priority Mail Regional Rate Box C","Prioridad Regional tipo caja A"
"Priority Mail Regional Rate Box C Hold For Pickup","Prioridad Regional tipo caja A sostener para la recolección"
"Priority Mail Small Flat Rate Box","Tarifa plana para Caja Pequeña en Correo Prioritario"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box recolección"
"Priority Mail Small Flat Rate Envelope","Prioridad correo tarifa plana pequeños sobres"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Prioridad correo tarifa plana pequeña envoltura Hold para la recolección"
"Priority Mail Window Flat Rate Envelope","Prioridad correo ventana envolvente de tarifa plana"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Prioridad correo ventana envolvente tarifa plana Hold para la recolección"
"Priority Overnight","Prioridad durante la noche"
"Regular","Normal"
"Regular Pickup","Recogida ordinaria"
"Request Courier","Solicitar servicio de mensajería"
"Required","Obligatorio"
"Residential","Residencial"
"Residential Delivery","Entrega residencial"
"Response is in the wrong format","La respuesta está en el formato incorrecto"
"Retail Ground","Terreno de venta por menor"
"Return","Devolución"
"Same day","El mismo día"
"Sample","Muestra"
"Sandbox Mode","Modo de prueba"
"Secure Gateway URL","URL de Gateway seguro"
"Sender","Remitente"
"Service type does not match","El tipo de servicio no coincide"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Shipper Number","Número del transportista"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Signature Required","Firma requerida"
"Size","Tamaño"
"Small Express Box","Caja pequeña urgente"
"Sort Order","Ordenación"
"Specific","Específico"
"Standard Overnight","Estándar de un día para otro"
"Station","Central"
"The field is applicable if the Smart Post method is selected.","El campo es aplicable si se selecciona el método de publicación inteligente."
"The response is in wrong format.","La respuesta tiene un formato incorrecto."
"There is no items in this order","No hay artículos en este pedido"
"Title","Título"
"Tracking XML URL","Seguimiento de URL XML"
"UPS Expedited","UPS Acelerada"
"UPS Express","UPS Urgente"
"UPS Express Box","UPS Urgente Box"
"UPS Express Early A.M.","UPS Urgente Primera hora de la mañana."
"UPS Express Plus","UPS Urgente Plus"
"UPS Ground","UPS Vía terrestre"
"UPS Letter Envelope","UPS Sobre de carta"
"UPS Next Day Air","UPS Aéreo Entrega al día siguiente"
"UPS Next Day Air Early A.M.","UPS Aéreo Entrega al día siguiente a la primera hora de la mañana."
"UPS Next Day Air Saver","UPS Aéreo Entrega al día siguiente garantizada"
"UPS Saver","UPS garantizada"
"UPS Second Day Air","UPS Aéreo Entrega al final del segundo día laboral"
"UPS Second Day Air A.M.","UPS Aéreo Entrega en la mañana del segundo día laboral."
"UPS Standard","UPS Estándar"
"UPS Three-Day Select","UPS Entrega al final del tercer día laboral"
"UPS Today Dedicated Courrier","UPS Entrega en el día por mensajería dedicada"
"UPS Today Express","UPS Entrega en el día urgente"
"UPS Today Express Saver","UPS Entrega en el día urgente y garantizada"
"UPS Today Intercity","UPS Entrega en el día interurbana"
"UPS Today Standard","UPS Entrega en el día estándar"
"UPS Tube","UPS Tubo"
"UPS Type","UPS Tipo"
"UPS Worldwide 10 kilo","UPS Internacional 10 kilos"
"UPS Worldwide 25 kilo","UPS Internacional 25 kilos"
"UPS Worldwide Expedited","UPS Internacional expedido"
"UPS Worldwide Express","UPS Internacional Express"
"UPS Worldwide Express Plus","UPS Internacional Express Plus"
"UPS Worldwide Express PlusSM","UPS Internacional Express PlusSM"
"UPS Worldwide Saver","UPS Internacional garantizada"
"USPS GXG Envelopes","USPS GXG Sobres"
"Unable to retrieve tracking","No se puede recuperar el seguimiento"
"User ID","ID de Usuario"
"Weight Unit","Unidad de peso"
"Width","Ancho"
"Worldwide Expedited","Internacional Expedido"
"Worldwide Express","Internacional Urgente"
"Worldwide Express Letter","Internacional Urgente Carta"
"Worldwide Express Plus","Internacional Urgente Plus"
"Worldwide Express Plus Letter","Internacional Urgente Plus Carta"
"Worldwide Express Saver","Internacional Urgente garantizada"
"Yes","Si"
"Your Packaging","Su embalaje"
"inch","pulgada"
