"-- Please Select --","--Seleccione--"
"Actions","Acciones"
"Add Layout Update","Agregar actualización de diseño"
"All","Todo"
"All Pages","Todas las páginas"
"All Product Types","Todos los tipos de artículos"
"Anchor Categories","Categorías de ancla"
"Apply","Aplicar"
"Assign to Store Views","Asignar a vistas de tienda"
"Big Image","Imagen grande"
"Categories","Categorías"
"Choose...","Elegir..."
"Close","Cerrar"
"Continue","Continuar"
"Default Template","Plantilla (predeterminado)"
"Delete","Borrar"
"Design Package/Theme","Diseñar paquete/tema"
"Export to:","Exportar a:"
"Frontend Properties","Propiedades Frontend"
"Generic Pages","Páginas genéricas"
"Images","Imágenes"
"Insert Widget","Insertar widget"
"Layout Updates","Actualizaciones de diseño"
"New Widget Instance","Nueva instancia de aplicación"
"Next page","Página siguiente"
"Non-Anchor Categories","Categorías no de ancla"
"Not Selected","No seleccionado"
"Open Chooser","Abrir el buscador"
"Page","Página"
"Previous page","Página anterior"
"Products","Productos"
"Remove Layout Update","Eliminar actualización de diseño"
"Save and Continue Edit","Guardar y continuar editando"
"Select All","Seleccionar Todo"
"Select Visible","Seleccionar los visibles"
"Settings","Configuración"
"Sort Order","Orden de aparición"
"Specified Page","Página especificada"
"Template","Plantilla"
"The information in this tab has been changed.","La información contenida en esta ficha ha sido cambiada."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"This tab contains invalid data. Please solve the problem before saving.","Esta pestaña contiene información inválida. Por favor resuelva el problema antes de guardar"
"Thumbnail","Miniatura"
"Total %d records found","Número total %d de registros encontrados"
"Type","Tipo"
"Unselect All","Deseleccionar todo"
"Unselect Visible","Deseleccionar los visibles"
"View","Ver"
"Widget","Aplicación"
"Widget ID","ID de aplicación"
"Widget Insertion","Inserción del widget"
"Widget Options","Opciones de aplicación"
"Widget Type","Tipo de aplicación"
"Widgets","Aplicaciones"
"items selected","Artículos seleccionados"
"of %s pages","de %s páginas"
"per page","por página"
